,created_at,text,Polarity_Score,Subjectivity_Score
0,2020-05-28,the education independent school standards coronavirus amendment regulations read more ,0.25,0.3125
1,2020-05-28,total covid tests performed in thailand  cases of those today deaths of those today,0.0,0.75
2,2020-05-28,notomorrowprep with talk of a second wave of coronavirus i expect a second shutdown of some states this fall ,0.0,0.0
3,2020-05-28,the us coronavirus death toll if you can even believe the official obviously inflated numbers is a minuscul ,0.0,0.5
4,2020-05-28,after two months of serving as west virginias covid czar dr clay marsh will begin to transition back into his ,0.0,0.0
5,2020-05-28,andrew zimmern talks coronavirus effect on americas food systems ,0.0,0.0
6,2020-05-28,how one blue state reopened early via politico copolitics cogov coronavirus,0.05,0.2
7,2020-05-28,cnn and sesame street to host a second special coronavirus town hall for kids and parents ,0.17857142857142858,0.2857142857142857
8,2020-05-28,democratic lawmaker goes on epic rant after gop colleague admits hiding positive coronavirus test ,0.16363636363636364,0.4727272727272727
9,2020-05-28,the world is still far from herd immunity for coronavirus ,0.1,1.0
10,2020-05-28,as food bank use increases but donations fall heres how you can help your community worldhungerday ,0.0,0.0
11,2020-05-28,i saw a license plate bracket that said id rather be getting a tattoo and now i want the coronavirus,0.0,0.0
12,2020-05-28,find out which uk subregions have the lowest income earners and most jobsatrisk in todays chartoftheday ,0.5,0.5
13,2020-05-28,meanwhile in sweden  last days have been pretty awful on coronavirus front  overall death rate has jumped  ,-0.1875,0.5166666666666666
14,2020-05-28,this provides strong evidence that the virus is not mutating in a way that would make it resistant to a covid v ,0.4333333333333333,0.7333333333333333
15,2020-05-28,teachers unionists and parents held a socially distanced protest today at city hall ,0.03333333333333333,0.06666666666666667
16,2020-05-28,wildfire trimethyl borate  covid covid coronavirus justiceforgeorgefloyd ,0.0,0.0
17,2020-05-28,corytv attackers started using new fraud schemes during the coronavirus pandemic have you heard,0.13636363636363635,0.45454545454545453
18,2020-05-28,this is because our country will face some factors that are difficult to predict in its development due to the gre ,-0.3125,0.6875
19,2020-05-28,btcjacksparrow attackers started using new fraud schemes during the coronavirus pandemic have you heard,0.13636363636363635,0.45454545454545453
20,2020-05-28,staff at olympus engineering face having their hours cut as production levels continue to be decimated by the coron ,0.0,0.0
21,2020-05-28,illinois notre dame and more big ten schools unveil their own face masks ,0.275,0.4
22,2020-05-28,coronavirus councils call for more funding for settings to remain open  nursery world,0.25,0.5
23,2020-05-28,these restrictions on coronavirus loans may surprise business owners ,0.0,0.0
24,2020-05-28,vut staff members tests positive for covid as varsities prepare to restart via citypress southafrica,0.22727272727272727,0.5454545454545454
25,2020-05-28,pennsylvania democrats accuse gop of covering up lawmakers positive coronavirus test for days the washington p ,0.22727272727272727,0.5454545454545454
26,2020-05-28,heres trumps actual acknowledgement of thousanddead from coronavirus  artwork by the phenomenal ,0.25,0.3
27,2020-05-28,prayers for my mom she just tested positive for coronavirus,0.22727272727272727,0.5454545454545454
28,2020-05-28,na pakistan is the only country which cant afford ventilators for coronavirus but the stockpile of nuclear has t ,0.0,1.0
29,2020-05-28,djdanimal newflmajority govrondesantis troll account pushing antisafety agenda report amp block  coronav ,0.0,0.0
30,2020-05-28,texas supreme court blocks votebymail expansion to those lacking immunity to the coronavirus ,0.0,0.0
31,2020-05-28,test amp trace typical johnson incompetence launched today but not working for another four weeks ,-0.16666666666666666,0.5
32,2020-05-28,can americas middle class be saved from a new depression the new york times ,0.0909090909090909,0.30303030303030304
33,2020-05-28,lets take a look at some of the most popular smartphone apps to track the covid outbreak ,0.55,0.7
34,2020-05-28,walaaidris cummings did breach lockdown guidelines says  durhampolice    no more twistin ,-0.25,0.5
35,2020-05-28,realdonaldtrump unnecessary capitals and one word completely in capitals yup he wrote this himself whereas he d ,-0.15000000000000002,0.65
36,2020-05-28,coronavirus pushes global credit rating downgrade threat to record high ,0.08,0.26999999999999996
37,2020-05-28,will movie theaters survive covid ,0.0,0.0
38,2020-05-28,cwi livestream tuesday pm bst  ireland north amp south what the future holds post covid  wit ,0.0,0.125
39,2020-05-28,happening now free covid testing underway at chesapeake square mall people have been lining up around th ,0.4,0.8
40,2020-05-28,realdonaldtrump unemployment just topped million deaths from covid just topped and all you c ,0.0,0.0
41,2020-05-28,if you are experiencing difficulties in paying your monthly utility bill dollar energy fund may be able to help c ,0.5,0.625
42,2020-05-28,uddhav thackeray blames centre for covid spread in maharashtra ,0.0,0.0
43,2020-05-28,coronavirus councils call for more funding for settings to remain open  nursery world,0.25,0.5
44,2020-05-28,uk prime ministers aide might have broken coronavirus lockdown rules police say  ,-0.4,0.4
45,2020-05-28,joancichon ryandempsey jallegretta reaichapo sarahksilverman and deborah birx also said that we were taking ,0.0,0.0
46,2020-05-28,the first tragedy of americas bleak coronavirus milestone is that people didnt have to die ,-0.375,0.6666666666666666
47,2020-05-28,heres how some in the trucking industry view the coronavirus crisis and trumps response via dailycaller,0.0,0.0
48,2020-05-28,uk suffers highest death rate from coronavirus free to read via ft  ,-0.09999999999999998,0.75
49,2020-05-28,post covid global consumer market outlook and supply chain strategy alibaba ecommerce video ,0.0,0.0
50,2020-05-28,this was worse than coronavirus ,-0.4,0.6
51,2020-05-28,the hhs office of the assistant secretary for preparedness and response is hosting a covid clinical rounds webin ,0.0,0.0
52,2020-05-28,realdonaldtrump mr president as you say one life lost is too many but those numbers have been inflated they have l ,0.5,0.5
53,2020-05-28,prudentgoa this is official data of uk but still goan dual citizens living here has no problem they contin ,0.0,0.0
54,2020-05-28,coronavirus bupa on why office space spending should be reinvested into mental health via ,-0.1,0.2
55,2020-05-28,police confirm no rules were broken all the lunatics now claim neither commings or his wife had covid and the ,-0.4,0.4
56,2020-05-28,osd health reviews covid testing process inkashmir ,0.0,0.0
57,2020-05-28,davemacladd we probably are going to go over the deaths by covid  the nd has already started in my opinion,0.0,0.0
58,2020-05-28,coronavirus has killed more than people across the us  pray for the usa ,0.15,0.25
59,2020-05-28,bombay hc directs nmmc to pay daily allowances to cleaning workers engaged in covid duties navi mumbai news ,0.0,0.0
60,2020-05-28,realdonaldtrump just to be clear the number is pneumonia seasonal flu and coronavirus all bundled into o ,0.10000000000000002,0.3833333333333333
61,2020-05-28,californian doctor says coronavirus lockdown has increased suicide more than died from covid thanks dickh ,0.35,0.35
62,2020-05-28,top vaccine scientist says coronavirus is almost perfectly human adapted via nypost,0.25,0.3
63,2020-05-28,theundefeated this is now assult covid,0.0,0.0
64,2020-05-28,covid cummings and track and trace what does this mean to us via charlotteh ,-0.3125,0.6875
65,2020-05-28,getting consumers to come back for care may depend on how much trust the health system can build with them over th ,0.1,0.1
66,2020-05-28,are you getting your daily newspapers in this lockdown no they seems to be controlling the real news as now media ,0.1,0.15000000000000002
67,2020-05-28,cyber attack prevention tips  ,0.0,0.0
68,2020-05-28,in the midst of the covid pandemic were encouraged cityoftoronto leaders including joecressy amp anabailaoto ,0.0,0.0
69,2020-05-28,amen gitright godssoldiers goditrust psalm blessed jesus jesusstrong jesusismysuperhero bibleverse ,0.0,0.0
70,2020-05-28, in irish people are afraid of catching covid at work hahaha bunch of scammers as them again after the summer,0.05,0.55
71,2020-05-28,i lost my aunt to covid in a nursing home yesterday she did not deserve to die just as importantly she did no ,0.4,1.0
72,2020-05-28,if this was a war the us would have lost already  the trump administration cant mobilize anything correctly ,0.0,0.0
73,2020-05-28,bc jogger spends hours in a tree after narrowly escaping bear attack daily update reports just new covid cas ,-0.02121212121212122,0.28484848484848485
74,2020-05-28,narendramodi har har modiji you are great sir  we are lucky to have pm like you and we are safe in this covid environment ,0.5444444444444444,0.6944444444444445
75,2020-05-28,bloomfield pulse condolences to all of the families   essex county coronavirus cases updated thursday may  ,0.0,0.0
76,2020-05-28,taking the covid test in minutes and i didnt even study how fucked am i lads,-0.6,0.7
77,2020-05-28,these covid smses jesu ,0.0,0.0
78,2020-05-28,mrharrycole ayeshahazarika because this government are incompetent   but i suspect pm cummings is more than happ ,0.07500000000000001,0.43333333333333335
79,2020-05-28,from retail to construction and schools to healthcare we have specialised solutions for your industry created thr ,0.0,0.0
80,2020-05-28,lilwolfiebuns hmmm i rather covid halo,0.0,0.0
81,2020-05-28,its irreparable no mediation or arbitration will make up for the loss but an action against the perpetrator ,0.1,0.1
82,2020-05-28,report up to virus infections asymptomatic ,0.0,0.0
83,2020-05-28,last night i had weird has dreams   i saw a single trump supporter in a trump mask protesting the coronavirus i ,-0.19047619047619047,0.42698412698412697
84,2020-05-28,weijia blahblah trump btched about  mail in votingtwitter accused someone of murder unfounded took a f ,0.0,0.0
85,2020-05-28,white americans really deserve to die for what they did to georgefloyd thanks to coronavirus the numbers keep increasing,0.13333333333333333,0.13333333333333333
86,2020-05-28,two further deaths and new cases of covid via southantrimvox,0.06818181818181818,0.4772727272727273
87,2020-05-28,im done you win cdc starving aggressive cannibal rats await restaurantgoers after months of food depr ,0.8,0.4
88,2020-05-28,repubs lawmakers quarantined but didnt tell democratic lawmakers who were exposed   their lack of transparency m ,0.0,0.0
89,2020-05-28,redladnew airbnb airbnbhelp its terrible how they pretend to be sympathetic yet dismiss our problems like it m ,-0.25,1.0
90,2020-05-28,callous liars pennsylvania democrats say gop put them at risk by hiding members positive covid test ,0.22727272727272727,0.5454545454545454
91,2020-05-28,perennial underinvestment in nih nhlbi niaid cdc exposed enduring consequences of us underinvestment in scie ,0.0,0.0
92,2020-05-28,how the cloud helps businesses survive covid ,0.0,0.0
93,2020-05-28,alan hemplelouise no one cares about the damn coronavirus anymore that is over its the lockdown that is the problem,0.0,0.0
94,2020-05-28, new coronavirus testing sites open in madera county may  am et ,0.06818181818181818,0.4772727272727273
95,2020-05-28,reminder to the backcombat haters due to the covid pandemic many games will be delayed them free remaster ,0.25833333333333336,0.5583333333333333
96,2020-05-28,is a symptom of covid blatant racism blacklivesmatter,-0.5,0.5
97,2020-05-28,what the actual fuck delhi is resuming metro services in hours coronavirus is not gone fucktards,-0.2,0.35
98,2020-05-28,i am wondering just wondering number of patients have reduced due to covid is privatisation hitting us hard o ,-0.20833333333333334,0.4583333333333333
99,2020-05-28,while homeowners are seeing longterm postponements of mortgages renters are getting literally no protections beca ,0.0,0.0
100,2020-05-08, us fda clears pluristems ind application for phase ii covid study we present algotrader the worlds firs ,0.0,0.0
101,2020-05-08,join me ericsson unboxed office webcast building the future today in a covid world  register now ,0.0,0.125
102,2020-05-08,rcbregman in time magazine the age of excessive individualism and competition could come to an end and we coul ,-0.25,1.0
103,2020-05-08,if anyone else wants to report this rubber faced twunt for lockdown breach you can do it here ,0.2,0.1
104,2020-05-08,on air paul potts adding value to lives daily talk to us on  hellofantasticradiocouk ,0.0,0.0
105,2020-05-08,bevvie rheabutcher thank you what a wonderful message i opened twitter just now and it seems that everyone ,1.0,1.0
106,2020-05-08,i found the cure for coronavirus ,0.0,0.0
107,2020-05-08, fresh cases of covid ,0.3,0.5
